waiting,elapsed
12789,9457
6731,3877
3364,6602
6091,7288
10016,9924
13433,9911
3347,6640
12031,7963
2789,7240
6921,3297
10028,6412
16710,16639
14262,15699
3356,9995
9802,192
8193,16650
7573,7602
3609,3062
8588,9961
6061,4746
4190,3939
10028,2476
10036,9972
7312,10654
16676,15327
16671,16662
16694,16662
10038,16640
11781,9962
3341,4885
13368,9993
10031,3298
10051,9969
16692,16616
10008,16641
13347,9992
6717,9987
5027,1602
6717,9987
4957,1677
5166,8191
7328,3292
6696,6005
10032,9971
5323,6635
3640,4408
15712,13295
10014,7622
7975,15351
16404,9968
16693,13621
10653,16640
5387,7331
11437,9963
6598,8673
5692,2206
10007,5394
16688,16644
16673,16661
16671,16660
16687,16662
8454,16647
7727,4879
6251,5606
3349,3749
7671,7742
7639,3082
8703,10517
6764,7959
2616,6574
1797,718
6147,5451
15114,11497
9454,6660
11953,19404
1489,2523
2493,2886
5763,5439
10027,5263
3370,6640
7562,9097
14392,8938
10019,6641
8446,9981
10060,14869
10045,9958
4372,5633
10044,6617
6697,6622
6801,9970
10044,5935
10011,7220
10526,16269
4240,5635
7659,3319
2301,5674
13387,10985
7434,6661
3390,5876
10053,3300
13462,16492
10017,6659
16672,16650
16671,16661
5219,13329
10024,4781
3349,6643
13348,9984
6715,9986
3649,2983
4439,6653
10027,5561
3348,6639
7997,8683
7983,8810
11457,8867
4611,4926
16696,9985
16700,16637
16670,16634
16676,16663
16671,16657
8812,14560
16674,9957
8907,9993
16675,17760
9785,13573
7901,9967
10027,5432
2088,6640
10009,4578
10010,6658
16697,16657
5320,13303
10024,4680
8383,9976
9864,5127
6899,16626
5479,4309
10439,6275
3397,6599
6481,3474
6720,9981
3689,2958
4273,5709
4147,2541
6700,6630
5542,3300
2148,4458
3344,4518
4234,2435
10031,6654
10031,6636
11058,16635
4716,7611
16737,9949
7549,9929
10028,5785
8431,16638
9809,7916
6335,7550
16672,9959
10005,9995
10004,9995
10004,9996
10005,9996
10004,9995
10004,9996
10026,9996
6144,9974
9360,7834
10020,9995
10005,9980
11134,9995
16670,15533
3339,9997
3874,2822
13722,9585
10005,9991
4716,9995
6282,2376
6679,9959
10007,9988
3783,2920
10005,6623
10027,13329
10004,9973
10004,9995
16671,9996
10003,9996
10003,9997
10004,9997
10004,9996
10008,9996
10004,9992
10003,16663
10005,9997
10005,9995
10025,9995
16673,9975
10239,13101
3659,5534
5025,4127
1543,4975
3346,1790
5974,6654
6695,4026
4839,5720
3371,6080
4866,2390
957,2706
1702,2377
4312,4036
4351,2293
3384,5252
6071,4824
3171,3980
4865,1789
5054,7123
2946,4196
5096,3898
6189,4990
5562,4947
5036,5653
4779,5946
4800,1270
5889,5818
5713,5117
5297,5903
5792,5414
5983,4931
4968,5941
5516,5718
6697,4484
6689,9970
826,2985
4813,2833
5795,5187
6185,4719
6837,6635
5104,8072
6741,6641
7540,2845
7274,9031
3472,6581
9311,6779
6568,7237
6637,3300
4019,9367
3452,3235
6744,6623
3351,3256
6741,3316
3345,6592
9783,6456
3865,7322
5249,4024
3301,3359
2236,1689
7287,5586
3483,3901
5149,3785
4511,7216
3583,1787
5096,4102
7501,9741
1993,2467
2598,2183
4778,3282
2871,2676
3136,4005
5114,1610
3822,6127
3643,3053
4642,5968
9782,6009
3900,6821
2441,2830
9456,7855
3738,7158
2921,2685
10022,7068
10140,6656
3531,9821
13653,9527
10008,9995
10009,9992
10003,9991
10004,9997
10004,6662
10006,9996
10026,9994
10026,9974
10005,9974
10004,9995
5169,9996
10004,4831
5941,14093
6679,6629
10006,3321
10004,9994
10003,16663
10003,9997
10003,9997
10004,9997
17348,9318
10004,9996
7628,9780
10004,9255
16804,13196
6694,13329
10003,9973
10004,9997
10003,9996
10003,9997
10004,9997
10004,9996
10004,9996
10003,9996
10003,9997
10003,6664
6695,9997
5369,7977
10047,9959
10026,9953
8975,9974
7628,847
10004,9216
10005,9996
10004,9995
7692,9996
10003,12308
10013,9988
13337,9996
10003,9997
10003,9997
10003,9997
10004,9997
10004,9996
10003,9996
10003,9997
6394,9997
9340,7602
10017,9983
10024,9997
10030,9976
10004,9970
10003,9996
5931,9997
10018,4062
10004,6656
10003,9996
10003,9997
10003,9997
10003,9997
10003,9997
10003,9997
10004,13330
11096,8904
3292,9996
12141,7904
10419,9990
10004,12921
10003,9996
10003,9997
10003,9997
10003,9997
10006,9997
10003,9994
10003,9997
10003,9997
6675,9997
10005,9991
10030,9995
8906,7779
16673,9952
10006,9994
10003,13327
16671,13330
10003,9996
10003,9997
10005,13330
8799,9995
10034,7839
10006,9995
10031,9994
10004,9969
10004,13329
10003,9996
10005,9997
10004,9995
10003,9996
10003,9997
7631,3524
9480,9366
10003,9996
10030,9997
10007,9970
8797,13327
1700,2870
16672,9966
6695,9994
10016,9959
10004,9997
3286,5085
10448,7847
10004,9997
10004,9996
10003,9996
10008,9997
10005,9992
10003,9995
10004,9997
10004,9996
8474,5853
